id,name,description,price,category,stock
1,Laptop Pro,High performance laptop with 16GB RAM,1200.00,Electronics,50
2,Mechanical Keyboard,Gaming keyboard with RGB backlighting,80.00,Electronics,100
3,Wireless Mouse,Ergonomic mouse with long battery life,30.00,Electronics,150
4,Designer T-Shirt,100% cotton casual wear,25.00,Apparel,200
5,Running Shoes,Comfortable shoes for daily runs,100.00,Apparel,75
6,Smartwatch X,Latest generation smartwatch with health tracking,250.00,Electronics,40
7,Bluetooth Speaker,Portable speaker with rich bass,60.00,Electronics,120
8,Denim Jeans,Classic fit denim jeans,75.00,Apparel,90
9,Yoga Mat,Non-slip yoga mat for fitness,40.00,Sports,80
10,Blender Max,High power blender for smoothies,150.00,Home Appliances,30
